@relation bookkeeper\Release_5\train
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute N_AUTH numeric
@attribute NR numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FAN_OUT numeric
@attribute METHOD_COMPLEXITY numeric
@attribute IS_BUGGY {'Yes', 'No'}
@data
694,193,102,3,10,48,19.3,107,43,10.7,34,29,Yes
62,0,0,0,0,0,0.0,0,0,0.0,1,4,No
35,1,1,1,1,1,1.0,0,0,0.0,1,2,No
27,27,0,1,1,27,27.0,27,27,27.0,0,1,No
190,15,2,1,1,15,15.0,13,13,13.0,12,19,Yes
66,0,0,0,0,0,0.0,0,0,0.0,3,6,No
84,0,0,0,0,0,0.0,0,0,0.0,2,6,No
171,5,3,1,1,5,5.0,2,2,2.0,3,6,No
88,118,30,1,2,113,59.0,138,113,69.0,1,4,Yes
312,70,6,3,5,44,14.0,64,44,12.8,33,17,Yes
175,12,30,2,2,7,6.0,24,21,12.0,6,14,Yes
50,0,0,0,0,0,0.0,0,0,0.0,3,9,No
425,428,3,1,2,424,214.0,425,424,212.5,17,10,Yes
74,1,1,1,1,1,1.0,0,0,0.0,0,3,No
62,0,0,0,0,0,0.0,0,0,0.0,1,5,No
48,0,0,0,0,0,0.0,0,0,0.0,0,2,No
46,0,0,0,0,0,0.0,0,0,0.0,2,2,No
509,545,36,3,7,378,77.85714285714286,541,378,77.28571428571429,19,26,Yes
65,13,9,1,1,13,13.0,4,4,4.0,0,5,No
36,7,0,1,2,5,3.5,7,5,3.5,0,5,Yes
56,3,3,1,1,3,3.0,0,0,0.0,3,4,No
31,31,0,1,1,31,31.0,31,31,31.0,0,2,No
28,0,0,0,0,0,0.0,0,0,0.0,0,3,No
114,14,14,1,1,14,14.0,0,0,0.0,1,11,No
764,580,842,3,20,106,29.0,612,327,30.6,45,50,Yes
363,5,11,1,1,5,5.0,6,6,6.0,21,28,Yes
183,0,0,0,0,0,0.0,0,0,0.0,7,18,No
58,0,0,0,0,0,0.0,0,0,0.0,0,3,No
800,91,19,2,4,73,22.75,72,62,18.0,63,36,Yes
42,0,0,0,0,0,0.0,0,0,0.0,0,4,No
582,152,118,3,6,106,25.333333333333332,116,68,19.333333333333332,37,25,Yes
90,90,0,1,1,90,90.0,90,90,90.0,0,11,Yes
143,5,0,1,1,5,5.0,5,5,5.0,5,21,No
79,2,1,1,1,2,2.0,1,1,1.0,0,7,Yes
132,132,0,1,1,132,132.0,132,132,132.0,6,5,No
141,4,0,1,1,4,4.0,4,4,4.0,5,5,Yes
38,0,0,0,0,0,0.0,0,0,0.0,0,4,No
612,185,25,1,4,98,46.25,160,92,40.0,34,52,Yes
90,25,22,1,1,25,25.0,3,3,3.0,2,9,No
85,0,0,0,0,0,0.0,0,0,0.0,0,0,No
85,4,0,1,1,4,4.0,4,4,4.0,2,8,Yes
80,5,0,1,1,5,5.0,5,5,5.0,0,5,No
103,5,1,1,1,5,5.0,4,4,4.0,2,7,Yes
160,1,0,1,1,1,1.0,1,1,1.0,2,13,Yes
271,284,13,1,2,260,142.0,271,260,135.5,15,10,No
86,18,2,1,1,18,18.0,16,16,16.0,2,9,No
507,29,36,2,4,15,7.25,25,16,6.25,25,34,Yes
27,80,53,1,2,79,40.0,131,79,65.5,0,1,No
111,0,0,0,0,0,0.0,0,0,0.0,3,16,No
64,0,0,0,0,0,0.0,0,0,0.0,0,6,No
37,37,0,1,1,37,37.0,37,37,37.0,0,3,No
43,0,0,0,0,0,0.0,0,0,0.0,2,7,No
664,666,1,1,2,665,333.0,665,665,332.5,43,34,No
74,0,0,0,0,0,0.0,0,0,0.0,0,7,No
48,48,0,1,1,48,48.0,48,48,48.0,1,2,No
256,43,21,2,3,33,14.333333333333334,22,19,7.333333333333333,24,14,Yes
905,221,78,3,9,95,24.555555555555557,143,65,15.88888888888889,69,40,Yes
45,45,0,1,1,45,45.0,45,45,45.0,0,5,No
576,589,13,2,3,550,196.33333333333334,576,550,192.0,24,22,Yes
63,0,0,0,0,0,0.0,0,0,0.0,0,3,Yes
184,8,9,2,3,4,2.6666666666666665,3,2,1.0,9,6,No
113,10,2,2,2,10,5.0,10,9,5.0,2,8,Yes
172,20,2,2,3,10,6.666666666666667,18,8,6.0,1,20,No
108,4,0,1,1,4,4.0,4,4,4.0,2,8,No
98,1,1,1,1,1,1.0,0,0,0.0,14,2,Yes
49,0,0,0,0,0,0.0,0,0,0.0,3,4,No
148,0,0,0,0,0,0.0,0,0,0.0,6,31,Yes
36,2,2,1,1,2,2.0,0,0,0.0,0,3,No
79,0,0,0,0,0,0.0,0,0,0.0,3,5,Yes
172,21,9,1,2,11,10.5,12,10,6.0,26,11,No
400,407,7,2,3,397,135.66666666666666,400,397,133.33333333333334,33,19,Yes
92,0,0,0,0,0,0.0,0,0,0.0,8,5,Yes
46,128,633,2,8,92,16.0,579,531,72.375,0,0,Yes
153,30,73,3,6,19,5.0,49,46,8.166666666666666,3,7,Yes
209,5,0,1,1,5,5.0,5,5,5.0,11,15,No
27,0,0,0,0,0,0.0,0,0,0.0,0,4,No
451,534,83,3,5,425,106.8,459,425,91.8,34,16,No
105,0,0,0,0,0,0.0,0,0,0.0,4,5,Yes
276,61,1,2,3,30,20.333333333333332,60,30,20.0,2,19,Yes
187,211,24,2,4,183,52.75,191,183,47.75,6,15,Yes
81,0,0,0,0,0,0.0,0,0,0.0,0,2,No
788,842,54,3,7,712,120.28571428571429,788,712,112.57142857142857,29,41,Yes
60,60,0,1,1,60,60.0,60,60,60.0,0,8,No
48,0,0,0,0,0,0.0,0,0,0.0,2,4,No
162,0,0,0,0,0,0.0,0,0,0.0,12,30,Yes
150,63,5,2,2,58,31.5,58,53,29.0,5,23,No
169,5,1,2,2,4,2.5,4,4,2.0,1,1,Yes
236,236,0,1,1,236,236.0,236,236,236.0,8,30,Yes
150,26,33,1,2,25,13.0,7,7,3.5,3,2,Yes
129,7,1,1,1,7,7.0,6,6,6.0,2,10,No
481,62,8,1,2,50,31.0,54,42,27.0,25,22,No
529,9,13,1,4,5,2.25,4,3,1.0,12,33,Yes
66,74,8,1,2,69,37.0,72,69,36.0,2,2,No
72,8,0,1,1,8,8.0,8,8,8.0,1,5,No
132,4,2,1,1,4,4.0,2,2,2.0,6,5,No
32,1,1,1,1,1,1.0,0,0,0.0,1,3,No
196,202,6,1,2,195,101.0,196,195,98.0,15,10,Yes
74,0,0,0,0,0,0.0,0,0,0.0,1,5,No
32,32,0,1,1,32,32.0,32,32,32.0,0,0,No
137,0,0,0,0,0,0.0,0,0,0.0,5,4,No
132,0,0,0,0,0,0.0,0,0,0.0,2,10,No
84,26,9,1,1,26,26.0,17,17,17.0,2,4,No
148,0,0,0,0,0,0.0,0,0,0.0,5,11,No
78,0,0,0,0,0,0.0,0,0,0.0,1,3,Yes
174,0,0,0,0,0,0.0,0,0,0.0,3,10,No
1041,1057,16,1,2,1029,528.5,1041,1029,520.5,56,41,Yes
43,1,1,1,1,1,1.0,0,0,0.0,1,3,No
368,305,181,2,2,294,152.5,124,123,62.0,26,8,Yes
76,0,0,0,0,0,0.0,0,0,0.0,7,6,No
77,77,0,1,1,77,77.0,77,77,77.0,0,10,Yes
242,12,1,1,1,12,12.0,11,11,11.0,13,8,Yes
55,9,4,1,1,9,9.0,5,5,5.0,3,2,No
29,0,0,0,0,0,0.0,0,0,0.0,0,2,No
37,0,0,0,0,0,0.0,0,0,0.0,0,2,No
180,0,0,0,0,0,0.0,0,0,0.0,2,12,No
98,0,0,0,0,0,0.0,0,0,0.0,0,19,No
215,227,12,1,3,177,75.66666666666667,215,177,71.66666666666667,20,8,No
45,0,0,0,0,0,0.0,0,0,0.0,1,3,Yes
158,161,3,1,3,157,53.666666666666664,158,157,52.666666666666664,8,4,Yes
27,27,0,1,1,27,27.0,27,27,27.0,0,1,No
227,0,0,0,0,0,0.0,0,0,0.0,18,10,No
