classifier;iteration;precision;recall;RC;kappa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;8;0,361111111;0,122641509;0,730162595;0,144491919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;8;0,38961039;0,283018868;0,70962525;0,273452728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;8;0,228571429;0,528301887;0,714572646;0,222485052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;8;0,261538462;0,641509434;0,803651856;0,280619561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;8;0,409090909;0,169811321;0,753317103;0,198131371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;8;0,36;0,08490566;0,785279541;0,107072007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;8;0,428571429;0,056603774;0,761012086;0,080913456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;9;0,614583333;0,36196319;0,819404839;0,400465974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;9;0,388888889;0,042944785;0,727183084;0,054007915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;9;NaN;0;0,748620831;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;9;0,542857143;0,233128834;0,747522826;0,271911683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;9;0,333333333;0,024539877;0,718780148;0,02919863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;9;0,333333333;0,006134969;0,737619461;0,007598574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;9;0,56122449;0,337423313;0,722116804;0,36202517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;9;0,368421053;0,085889571;0,672365454;0,09694668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;9;0,34375;0,067484663;0,734527991;0,075167414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;9;0,459854015;0,386503067;0,726562125;0,345890862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;9;0,255591054;0,490797546;0,667275189;0,20671881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;9;0,296918768;0,650306748;0,795992282;0,286093795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;9;0,546666667;0,251533742;0,765823797;0,28894624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;9;0,4;0,036809816;0,721317286;0,047501769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;9;0,5;0,012269939;0,76330798;0,018117304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;10;0,303370787;0,435483871;0,859009248;0,325167976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;10;0,181818182;0,129032258;0,748689101;0,121184089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;10;0,142857143;0,016129032;0,784691801;0,020882206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;10;0,317460317;0,322580645;0,815677685;0,290842427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;10;0,166666667;0,032258065;0,774846232;0,041372351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;10;0,142857143;0,016129032;0,767312713;0,020882206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;10;0,265957447;0,403225806;0,812104518;0,285384806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;10;0,126760563;0,14516129;0,728234656;0,095968059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;10;0,196721311;0,193548387;0,744015222;0,161185311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;10;0,245098039;0,403225806;0,811839019;0,267723723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;10;0,11898017;0,677419355;0,740408868;0,142936964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
