classifier;iteration;precision;recall;AUC;kappa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;6;NaN;0;0,686405724;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;6;0,56;0,212121212;0,74168771;0,24327525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;6;0,611111111;0,166666667;0,601473064;0,20941092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;7;0,666666667;0,074074074;0,794697404;0,111626469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;7;0,711864407;0,777777778;0,946210386;0,705833754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;7;0,745762712;0,814814815;0,948883162;0,746408409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;7;0,5;0,037037037;0,743103284;0,053007459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;7;0,785714286;0,814814815;0,927286178;0,771586959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;7;0,818181818;0,833333333;0,943967163;0,801174298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;7;0,5;0,037037037;0,73446449;0,053007459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;7;0,584415584;0,833333333;0,901345934;0,634533941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;7;0,544444444;0,907407407;0,932440817;0,622978787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;7;0;0;0,736588393;-0,008803391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;7;0,385245902;0,87037037;0,858223559;0,439086294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;7;0,390625;0,925925926;0,918695113;0,455959171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;7;0,5;0,037037037;0,710385643;0,053007459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;7;0,703125;0,833333333;0,922895189;0,726460967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;7;0,723076923;0,87037037;0,939098893;0,757558471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;8;0;0;0,713789046;-0,004455779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;8;0,64516129;0,526315789;0,869990016;0,503520179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;8;0,692307692;0,473684211;0,848577236;0,492009132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;8;0;0;0,723933818;-0,004455779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;8;0,62745098;0,421052632;0,787565968;0,42507639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;8;0,549019608;0,368421053;0,781949793;0,352070217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;8;NaN;0;0,737894024;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;8;0,482758621;0,552631579;0,781860648;0,407276896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;8;0,404958678;0,644736842;0,78180716;0,364037937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;8;0,5;0,013157895;0,711613892;0,017031913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;8;0,377483444;0,75;0,789188418;0,355840795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;8;0,366013072;0,736842105;0,781878477;0,338008112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;8;NaN;0;0,726322921;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;8;0,559322034;0,434210526;0,783180003;0,399201675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;8;0,523076923;0,447368421;0,793681358;0,385510262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
