Version,File Name,LOC,LOC_added,LOC_deleted,LOC_modified,NAuth,NR,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_churn,...,...,...,...,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,790,4894,0,0,36,164,1631,29.841463414634145,5179,1574,31.579268292682926,790,790,790,790,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,254,356,0,0,3,11,309,32.36363636363637,369,296,33.54545454545455,254,254,254,254,yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,99,20,0,0,3,3,16,6.666666666666667,2,2,0.6666666666666666,99,99,99,99,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,26,3,0,0,3,2,2,1.5,1,1,0.5,26,26,26,26,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,396,1555,0,0,34,109,221,14.26605504587156,1975,309,18.119266055045873,396,396,396,396,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,14,0,0,0,1,0,0,0.0,0,0,0.0,14,14,14,14,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,213,68,0,0,4,19,33,3.5789473684210527,377,121,19.842105263157894,213,213,213,213,yes
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,61,30,0,0,2,1,30,30.0,0,0,0.0,61,61,61,61,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,118,1216,0,0,21,53,547,22.943396226415093,1040,371,19.62264150943396,118,118,118,118,yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,21,0,0,0,1,0,0,0.0,0,0,0.0,21,21,21,21,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,31,16,0,0,3,2,16,8.0,3,3,1.5,31,31,31,31,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,237,1546,0,0,31,111,401,13.927927927927929,1778,119,16.01801801801802,237,237,237,237,yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,97,0,0,0,2,1,0,0.0,5,5,5.0,97,97,97,97,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,46,208,0,0,15,32,74,6.5,431,208,13.46875,46,46,46,46,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,24,3,0,0,3,3,2,1.0,6,5,2.0,24,24,24,24,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,31,13,0,0,3,2,12,6.5,2,2,1.0,31,31,31,31,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,82,20,0,0,4,8,10,2.5,14,6,1.75,82,82,82,82,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,26,5,0,0,2,2,3,2.5,0,0,0.0,26,26,26,26,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,19,0,0,0,1,0,0,0.0,0,0,0.0,19,19,19,19,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,14,2,0,0,2,1,2,2.0,0,0,0.0,14,14,14,14,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,32,87,0,0,10,13,29,6.6923076923076925,197,58,15.153846153846153,32,32,32,32,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,327,181,0,0,6,19,37,9.526315789473685,400,92,21.05263157894737,327,327,327,327,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,49,162,0,0,12,18,38,9.0,392,261,21.77777777777778,49,49,49,49,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,36,11,0,0,4,5,5,2.2,37,24,7.4,36,36,36,36,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,53,2,0,0,3,2,1,1.0,0,0,0.0,53,53,53,53,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,44,0,0,0,3,2,0,0.0,9,5,4.5,44,44,44,44,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,18,6,0,0,3,4,6,1.5,32,19,8.0,18,18,18,18,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,12,5,0,0,4,3,3,1.6666666666666667,1,1,0.3333333333333333,12,12,12,12,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,63,17,0,0,4,7,5,2.4285714285714284,13,6,1.8571428571428572,63,63,63,63,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,101,23,0,0,4,7,9,3.2857142857142856,9,6,1.2857142857142858,101,101,101,101,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,114,719,0,0,21,41,292,17.536585365853657,811,222,19.78048780487805,114,114,114,114,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,217,249,0,0,19,36,190,6.916666666666667,623,183,17.305555555555557,217,217,217,217,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,53,53,0,0,3,4,48,13.25,1,1,0.25,53,53,53,53,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,31,8,0,0,3,3,4,2.6666666666666665,16,16,5.333333333333333,31,31,31,31,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,344,713,0,0,14,32,322,22.28125,508,265,15.875,344,344,344,344,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,25,6,0,0,4,3,4,2.0,0,0,0.0,25,25,25,25,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,71,0,0,0,1,0,0,0.0,0,0,0.0,71,71,71,71,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,30,1,0,0,2,1,1,1.0,0,0,0.0,30,30,30,30,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,54,11,0,0,3,5,4,2.2,11,8,2.2,54,54,54,54,yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,21,0,0,0,1,0,0,0.0,0,0,0.0,21,21,21,21,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,327,270,0,0,5,9,183,30.0,133,106,14.777777777777779,327,327,327,327,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,46,2,0,0,2,1,2,2.0,0,0,0.0,46,46,46,46,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,55,16,0,0,4,5,9,3.2,12,9,2.4,55,55,55,55,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,255,440,0,0,5,14,297,31.428571428571427,269,200,19.214285714285715,255,255,255,255,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,95,149,0,0,4,12,86,12.416666666666666,190,59,15.833333333333334,95,95,95,95,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,164,793,0,0,30,55,207,14.418181818181818,466,107,8.472727272727273,164,164,164,164,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,75,31,0,0,3,5,22,6.2,38,37,7.6,75,75,75,75,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,488,2860,0,0,34,152,520,18.81578947368421,2764,285,18.18421052631579,488,488,488,488,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,108,7,0,0,4,6,3,1.1666666666666667,23,13,3.8333333333333335,108,108,108,108,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,9,1,0,0,2,1,1,1.0,0,0,0.0,9,9,9,9,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,42,128,0,0,11,16,39,8.0,324,88,20.25,42,42,42,42,yes
1,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,21,1,0,0,3,3,1,0.3333333333333333,18,9,6.0,21,21,21,21,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,14,6,0,0,3,3,4,2.0,26,25,8.666666666666666,14,14,14,14,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,278,66,0,0,4,9,14,7.333333333333333,29,14,3.2222222222222223,278,278,278,278,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,107,103,0,0,8,13,60,7.923076923076923,78,55,6.0,107,107,107,107,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,470,618,0,0,4,18,489,34.333333333333336,669,416,37.166666666666664,470,470,470,470,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,46,197,0,0,29,68,44,2.8970588235294117,1351,135,19.86764705882353,46,46,46,46,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,79,267,0,0,16,35,53,7.628571428571429,615,158,17.571428571428573,79,79,79,79,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,14,4,0,0,2,1,4,4.0,0,0,0.0,14,14,14,14,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,32,10,0,0,3,4,7,2.5,19,15,4.75,32,32,32,32,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,50,26,0,0,4,7,20,3.7142857142857144,143,47,20.428571428571427,50,50,50,50,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,42,28,0,0,4,6,14,4.666666666666667,9,3,1.5,42,42,42,42,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,73,4,0,0,3,2,3,2.0,8,8,4.0,73,73,73,73,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,63,338,0,0,12,23,180,14.695652173913043,394,167,17.130434782608695,63,63,63,63,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,128,122,0,0,4,8,67,15.25,189,174,23.625,128,128,128,128,yes
