Version,File Name,LOC,LOC_added,LOC_deleted,NAuth,NR,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_churn,Fan_Out,Method_Number,Buggy
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,154,165,11,2,3,153,55.0,154,153,51.333333333333336,8,9,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,438,204,3,6,209,73.0,234,209,39.0,19,12,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,128,137,9,3,5,127,27.4,128,127,25.6,10,7,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,762,1462,700,3,12,547,121.83333333333333,770,547,64.16666666666667,35,36,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,149,152,3,2,3,148,50.666666666666664,149,148,49.666666666666664,2,13,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,31,32,1,2,2,31,16.0,31,31,15.5,0,2,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,94,0,1,1,94,94.0,94,94,94.0,4,4,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,54,55,1,3,3,45,18.333333333333332,54,45,18.0,2,3,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,67,4,2,2,63,33.5,63,63,31.5,0,3,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,366,390,24,2,5,365,78.0,366,365,73.2,15,21,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,185,207,22,3,5,184,41.4,185,184,37.0,9,6,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,586,645,59,2,4,585,161.25,586,585,146.5,41,27,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,105,106,1,1,2,61,53.0,105,61,52.5,2,7,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,162,8,3,4,75,40.5,154,75,38.5,1,17,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,57,61,4,2,2,57,30.5,57,57,28.5,1,3,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,104,111,7,2,2,104,55.5,104,104,52.0,2,7,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,257,20,2,2,237,128.5,237,237,118.5,0,12,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,71,78,7,2,4,70,19.5,71,70,17.75,2,5,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,124,127,3,2,2,124,63.5,124,124,62.0,9,9,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,98,0,1,1,98,98.0,98,98,98.0,14,2,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,183,202,19,2,4,180,50.5,183,180,45.75,13,18,No
0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,49,49,0,1,1,49,49.0,49,49,49.0,3,4,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,148,0,1,1,148,148.0,148,148,148.0,6,31,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,36,41,5,2,2,36,20.5,36,36,18.0,0,3,No
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,79,94,15,2,3,78,31.333333333333332,79,78,26.333333333333332,3,5,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,139,6,2,3,133,46.333333333333336,133,133,44.333333333333336,8,6,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,37,37,0,1,1,37,37.0,37,37,37.0,0,4,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,160,167,7,2,4,159,41.75,160,159,40.0,26,8,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,253,255,2,1,2,251,127.5,253,251,126.5,8,8,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,27,28,1,2,2,27,14.0,27,27,13.5,0,2,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,92,126,34,3,4,91,31.5,92,91,23.0,8,5,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,64,65,1,2,2,64,32.5,64,64,32.0,1,6,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,621,70,3,7,536,88.71428571428571,557,536,79.57142857142857,27,21,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,196,224,28,3,6,178,37.333333333333336,196,178,32.666666666666664,1,7,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,204,204,0,1,1,204,204.0,204,204,204.0,11,14,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,27,27,0,1,1,27,27.0,27,27,27.0,0,4,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,77,79,2,2,2,77,39.5,77,77,38.5,0,8,No
0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,6367,12222,5855,2,2,6127,6111.0,6367,6095,3183.5,488,1053,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,704,742,38,2,3,703,247.33333333333334,704,703,234.66666666666666,38,33,Yes
